Accession	Female_Parent	Male_Parent
TMS13F1212P0058	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS13F1214P0003	IITA-TMS-IBA011412	IITA-TMS-IBA020233
TMS13F1333P0002	IITA-TMS-IBA940237	IITA-TMS-IBA010046
TMS13F1307P0008	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS13F1216P0006	IITA-TMS-IBA011412	IITA-TMS-IBA020540
TMS13F1160P0003	IITA-TMS-IBA993073	IITA-TMS-IBA051740
TMS13F1063P0019	IITA-TMS-IBA980505	IITA-TMS-IBA30572
IITA-TMS-IBA061673	IITA-TMS-IBA011371	IITA-TMS-IBA940006
TMS14F1307P0004	IITA-TMS-IBA030060	IITA-TMS-MM970646
TMS14F1291P0013	IITA-TMS-IBA961632	IITA-TMS-IBA030055A
TMS13F1028P0007	IITA-TMS-IBA940018	IITA-TMS-IBA930007
TMS14F1171P0009	TMS13F1212P0002	TMS13F1333P0003
TMS14F1106P0002	TMS13F1095P0009	TMS13F1333P0003
TMS13F1095P0009	IITA-TMS-IBA063046	IITA-TMS-IBA950279
TMS13F1253P0011	IITA-TMS-IBA930134	IITA-TMS-IBA920429
UG120110	UG110042	UG110042
TMS14F1245P0009	TMS13F1333P0003	TMS13F1212P0032
TMS14F1292P0010	IITA-TMS-MM970806	IITA-TMS-IBA030055A
TMS14F1247P0007	TMS13F1436P0012	TMS13F1212P0032
TMEB419	NR010004	NR010004
TMS14F1106P0006	TMS13F1095P0009	TMS13F1333P0003
TMS13F1047P0011	IITA-TMS-IBA970353	IITA-TMS-IBA071313
IITA-TMS-IBA070749	IITA-TMS-IBA011649	IITA-TMS-IBA050151
IITA-TMS-IBA061766	IITA-TMS-IBA011442	IITA-TMS-IBA011368
TMS13F1436P0006	IITA-TMS-IBA980002	IITA-TMS-IBA010046
TMS13F1212P0061	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS13F1214P0014	IITA-TMS-IBA011412	IITA-TMS-IBA020233
TMS14F1191P0003	TMS13F1212P0055	TMS13F1176P0003
TMS13F1176P0002	IITA-TMS-IBA020431	IITA-TMS-IBA960023
TMS14F1173P0002	TMS13F1212P0032	TMS13F1333P0003
TMS14F1181P0006	TMS13F1212P0079	TMS13F1333P0003
TMS13F1106P0006	IITA-TMS-IBA070004	IITA-TMS-IBA000350
TMS14F1191P0001	TMS13F1212P0055	TMS13F1176P0003
TMS14F1084P0004	TMS13F1154P0008	TMS13F1212P0055
TMS13F1288P0009	IITA-TMS-IBA020129	IITA-TMS-IBA010903
TMS14F1195P0008	TMS13F1106P0006	TMS13F1307P0020
TMS14F1089P0006	TMS13F1332P0042	TMS13F1212P0002
TMS14F1291P0004	IITA-TMS-IBA961632	IITA-TMS-IBA030055A
